Bank Name,Ticker,conml,Indeed Link,BHC_Folder_ID
"first security group, inc.",,First Security Group Inc,https://www.indeed.com/cmp/First-Security-Bank/reviews,194
firstmerit corporation,,FirstMerit Corp,https://www.indeed.com/cmp/Firstmerit-Corporation/reviews,183
fleetboston financial corporation,,FleetBoston Financial Corp.,https://www.indeed.com/cmp/Fleetboston-Financial/reviews,285
flushing financial corporation,,Flushing Financial Corp,,120
"franklin resources, inc.",,Franklin Resources Inc,https://www.indeed.com/cmp/Franklin-Bank/reviews,196
fulton financial corporation,FULT,Fulton Financial Corp,https://www.indeed.com/cmp/Fulton-Bank/reviews; https://www.indeed.com/cmp/Fulton-Financial-Corporation/reviews,61
fvnb corp.,,FVNB Corp,,204
"german american bancorp, inc.",,German American Bancorp Inc,https://www.indeed.com/cmp/German-American-Bancorp/reviews,145
"glacier bancorp, inc.",GBCI,Glacier Bancorp Inc,https://www.indeed.com/cmp/Glacier-Bank/reviews,87
"gold banc corporation, inc.",,Gold Banc Corp Inc,https://www.indeed.com/cmp/Gold-Bank/reviews,273
"goldman sachs group, inc., the",,Goldman Sachs Group Inc (The),https://www.indeed.com/cmp/Goldman-Sachs/reviews,5
"great western bancorp, inc.",GWB,Great Western Bancorp Inc,https://www.indeed.com/cmp/Great-Western-Bank/reviews,76
greater bay bancorp,,Greater Bay Bancorp,https://www.indeed.com/cmp/Greater-Bay-Bank/reviews,261
greenpoint financial corp.,,Greenpoint Financial Corp.,,291
guaranty bancorp,,Guaranty Bancorp,https://www.indeed.com/cmp/Guaranty-Bank-Best-Bank/reviews,141
"guaranty bancshares, inc.",,Guaranty Bancshares Inc,https://www.indeed.com/cmp/Guaranty-Bank-Best-Bank/reviews,158
hancock holding company,HBHC,Hancock Holding Co,https://www.indeed.com/cmp/Hancock-Holding-Company/reviews,47
hanmi financial corporation,HAFC,,https://www.indeed.com/cmp/Hanmi-Bank/reviews,
harleysville national corporation,,Harleysville National Corp,https://www.indeed.com/cmp/Harleysville-National-Bank/reviews,231
"heartland financial usa, inc.",HTLF,Heartland Financial USA Inc,https://www.indeed.com/cmp/Heartland-Financial-USA/reviews,100
heritage commerce corp,,Heritage Commerce Corp,https://www.indeed.com/cmp/Heritage-Bank-of-Commerce/reviews,149
heritage financial corporation,,Heritage Financial Corp,https://www.indeed.com/cmp/Heritage-Financial/reviews,139
hibernia corporation,,Hibernia Corp,https://www.indeed.com/cmp/Hibernia-Bank/reviews,280
"hilltop holdings, inc",,Hilltop Holdings Inc,"https://www.indeed.com/cmp/Hilltop-Holdings,-Inc./reviews",73
"home bancshares, inc.",,Home Bancshares Inc,https://www.indeed.com/cmp/Home-Bank/reviews,82
"home federal bancorp, inc.",,Home Federal Bancorp Inc,https://www.indeed.com/cmp/Home-Federal-Bank/reviews,201
"homestreet, inc.",,HomeStreet Inc,https://www.indeed.com/cmp/Homestreet-Bank/reviews,118
"hope bancorp, inc.",HOPE,Hope Bancorp Inc,,71
